Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,constraint_violation,runtime,threshold,nu,group_sparsity,alpha
SR3,90.0,0.01,0.07,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.6786519990926848,0.676245062688695,4.404087224707194,0.9958794514516219,0.20601258508977782,0.05866647656626246,0.058319492099312656,0.06143719049565044,1.0,6.0,0.0,0.0,5.330565697825307e-05,2.312898874282837,0.022229964825261943,3.3333333333333335,,
MIOSR,90.0,0.01,0.07,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.6786729697095512,0.6762469530450987,4.404068120953717,0.9958947642591838,0.19920700573139494,0.05883982902498937,0.05865769256161647,0.0617260890204786,1.0,6.0,0.0,0.0,3.940474597282732e-05,9.803963899612427,,,6.0,0.0001
Con-SR3,90.0,0.01,0.07,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.6786721059329166,0.6762566110267636,4.403935606320326,0.9959395769989676,0.19112014776191966,0.058530313114897925,0.058313978289260555,0.06102865024906157,1.0,6.0,0.0,0.0,2.3129646346357427e-18,2.434743881225586,0.016768329368110083,3.3333333333333335,,
Con-MIOSR,90.0,0.01,0.07,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.6786725570288834,0.6762458447630845,4.404084034566628,0.9959363129625578,0.2483081039298877,0.05883863929776255,0.05862363432992482,0.061073159179872216,1.0,6.0,0.0,0.0,0.0,9.907618045806885,,,6.0,0.0001
SR3,90.0,0.01,0.08,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.6145699827854524,0.6120029025089402,5.743191987137268,0.9933215914804998,0.2627596504697446,0.07514023945783684,0.0747152559324489,0.07793729252141224,1.0,6.0,0.0,0.0,3.237052858264209e-05,2.2421112060546875,0.025595479226995357,3.3333333333333335,,
MIOSR,90.0,0.01,0.08,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.614593052972092,0.6119997974883113,5.7432454143262115,0.9933469319299156,0.2535892267416064,0.07535988346471419,0.07511471591041059,0.07826832363085012,1.0,6.0,0.0,0.0,3.447763986964142e-05,9.901339292526245,,,6.0,0.0001
Con-SR3,90.0,0.01,0.08,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.6145921849111927,0.6120128232813539,5.743050645120226,0.9934159376117133,0.24358635423110261,0.07497749913357102,0.07470997850929738,0.07770570882787342,1.0,6.0,0.0,0.0,2.3129646346357427e-18,2.3764405250549316,0.022229964825261943,3.3333333333333335,,
Con-MIOSR,90.0,0.01,0.08,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.614592758197533,0.6119985797700549,5.743264256728261,0.9933909940646661,0.3170469959107398,0.07535890373485044,0.07509017469120226,0.07769759497008422,1.0,6.0,0.0,0.0,0.0,10.656570434570312,,,6.0,0.0001
SR3,90.0,0.01,0.09000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.553639667858596,0.5510176795211489,7.25608665782494,0.9898267353992652,0.3247909142789751,0.09320028036573899,0.09270294537422802,0.09594107951694997,1.0,6.0,0.0,0.0,6.308428578965149e-06,2.4268808364868164,0.029470517025518096,3.3333333333333335,,
MIOSR,90.0,0.01,0.09000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.5536642070242903,0.5510086677801718,7.256240434862712,0.989868664133072,0.31292742077543123,0.0934697508974496,0.09316382508252767,0.0963091224153233,1.0,6.0,0.0,0.0,2.758211978802494e-05,10.3175630569458,,,6.0,0.0001
Con-SR3,90.0,0.01,0.09000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.5536633111430855,0.5510254086452213,7.255966837343081,0.9899691470283611,0.3008754104890542,0.09300968408986626,0.09269239016141038,0.0959331519754012,1.0,6.0,0.0,0.0,6.938893903907228e-18,2.407522201538086,0.025595479226995357,3.3333333333333335,,
Con-MIOSR,90.0,0.01,0.09000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.5536640313317316,0.5510075010131131,7.256260001962135,0.9899071555814182,0.3921791143391484,0.09346900562179217,0.09314752399983149,0.0958530058559125,1.0,6.0,0.0,0.0,0.0,10.521638870239258,,,6.0,0.0001
SR3,90.0,0.01,0.1,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.49687042467184933,0.49427961092522443,8.94126366170481,0.9852577155839167,0.39146954328634387,0.11267190614327048,0.11210900755893484,0.11527975645586963,1.0,6.0,0.0,0.0,2.400045911746714e-05,2.2852625846862793,0.03393221771895328,3.3333333333333335,,
